W,parity
0.0,0.95
0.10526315789473684,0.95
0.21052631578947367,0.95
0.3157894736842105,0.95
0.42105263157894735,0.95
0.5263157894736842,0.95
0.631578947368421,0.95
0.7368421052631579,0.95
0.8421052631578947,0.95
0.9473684210526315,0.95
1.0526315789473684,0.7301895002640492
1.1578947368421053,0.4313795376427775
1.263157894736842,0.254849330796463
1.3684210526315788,0.15055925406732706
1.4736842105263157,0.08894702181271934
1.5789473684210527,0.05254790041543693
1.6842105263157894,0.031044117968161346
1.789473684210526,0.018340166834486926
1.894736842105263,0.010834958167012005
2.0,0.006401049649131193
